"emocount","adj.date","x","country","emotion"
"CANADA NEUTRAL",2016-07-28 18:57:00,61,"canada","Neutral"
"EUROPE NEUTRAL",2016-07-28 18:56:00,42,"europe","Neutral"
"EUROPE NEUTRAL",2016-07-28 18:57:00,42,"europe","Neutral"
"EUROPE POSITIVE",2016-07-28 18:56:00,33,"europe","Positive"
"CANADA NEUTRAL",2016-07-28 18:56:00,30,"canada","Neutral"
"EUROPE NEGATIVE",2016-07-28 18:56:00,26,"europe","Negative"
"CANADA POSITIVE",2016-07-28 18:56:00,25,"canada","Positive"
"CANADA POSITIVE",2016-07-28 18:57:00,22,"canada","Positive"
"EUROPE NEGATIVE",2016-07-28 18:57:00,18,"europe","Negative"
"EUROPE POSITIVE",2016-07-28 18:57:00,17,"europe","Positive"
"CANADA NEGATIVE",2016-07-28 18:57:00,12,"canada","Negative"
"CANADA NEUTRAL",2016-07-28 18:55:00,11,"canada","Neutral"
"CANADA NEGATIVE",2016-07-28 18:56:00,11,"canada","Negative"
"CANADA POSITIVE",2016-07-28 18:55:00,4,"canada","Positive"
"EUROPE NEGATIVE",2016-07-28 18:55:00,3,"europe","Negative"
"EUROPE NEUTRAL",2016-07-28 18:55:00,1,"europe","Neutral"
"EUROPE POSITIVE",2016-07-28 18:55:00,1,"europe","Positive"
"CANADA NEGATIVE",2016-07-28 18:55:00,0,"canada","Negative"
